AQC00914000       21392R
USC00428733        2433R
USC00428771        2008S
USC00428817        1703R
USC00428828        1755R
USC00428973        1349R
USC00428978        1406Q
USC00429133        1103S
USC00429136        1464R
USC00429152         673R
USC00429165        1688S
USC00429346        2633R
USC00429368         915S
USC00429514        1058R
USC00429595        1004S
USC00429717        1619S
USC00430277        4957Q
USC00430499        4106R
USC00430661        4360S
USC00430940        4364R
USC00430942        4430Q
USC00431213        4054R
USC00431243        4682S
USC00431360        4077R
USC00431363        4231Q
USC00431433        4609S
USC00431580        4138Q
USC00431705        4786Q
USC00432314        4178Q
USC00432698        4612Q
USC00432769        4174R
USC00432773        3938Q
USC00432843        4122R
USC00433341        3689R
USC00433769        4628Q
USC00434052        4351R
USC00434120        4419R
USC00434189        6482Q
USC00434261        5453Q
USC00434747        4883R
USC00435273        4242Q
USC00435376        4223R
USC00435416        8130S
USC00435542        4135S
USC00435733        4378R
USC00435740        4435R
USC00436391        4089Q
USC00436500        4533R
USC00436761        5128R
USC00436893        4813R
USC00436995        4046S
USC00437032        3768R
USC00437098        3983S
USC00437152        5569R
USC00437607        3364S
USC00437612        4798R
USC00437646        3747R
USC00438160        4726R
USC00438169        4326Q
USC00438172        4333Q
USC00438556        3832R
USC00438600        4858R
USC00438637        4905R
USC00438815        4316R
USC00439099        4289R
USC00439591        5584R
USC00439735        5286R
USC00439984        4380R
USC00439988        4477Q
USC00440021        4564R
USC00440079        4465Q
USC00440135        3906R
USC00440166        4402R
USC00440187        4419R
USC00440188        4530Q
USC00440243        4659R
USC00440327        4341S
USC00440551        4508R
USC00440561        4420Q
USC00440720        5419R
USC00440735        5211R
USC00440766        4089S
USC00440792        4031S
USC00440860        4456Q
USC00440982        4622Q
USC00440993        4298R
USC00441082        4496R
USC00441099        4218Q
USC00441121        4120R
USC00441136        4366S
USC00441159        4123R
USC00441209        4588S
USC00441259        4205R
USC00441322        4604R
USC00441585        4476R
USC00441593        4768S
USC00441606        4586R
USC00441614        4524S
USC00441692        4073R
USC00441746        4306R
USC00441825        4561R
USC00441913        4403R
USC00441955        4343S
USC00441999        4711S
USC00442009        4328R
USC00442041        3610R
USC00442044        3779S
USC00442064        4299S
USC00442142        4245R
USC00442208        3648S
USC00442245        4494S
USC00442400        4706Q
USC00442600        3972R
USC00442635        4602Q
USC00442663        3528R
USC00442790        4467S
USC00442941        4381R
USC00443192        4299R
USC00443204        4335Q
USC00443213        4548R
USC00443229        4092R
USC00443267        4357R
USC00443310        3884S
USC00443375        4924S
USC00443397        3663R
USC00443466        4418R
USC00443470        4429S
USC00443565        4522Q
USC00443640        4436S
USC00443991        4447R
USC00444039        4645Q
USC00444044        4820S
USC00444101        4628R
USC00444128        4350R
USC00444148        4250S
USC00444410        4504Q
USC00444414        4281S
USC00444565        4525S
USC00444568        3859S
USC00444600        4667R
USC00444676        3883S
USC00444768        4573R
USC00444777        4290R
USC00444876        4051R
USC00445050        4418S
USC00445096        4226R
USC00445117        4148R
USC00445150        4448Q
USC00445300        4512R
USC00445338        4650R
USC00445416        4189R
USC00445453        5520S
USC00445595        4428S
USC00445685        5278R
USC00445700        4468R
USC00445851        4348R
USC00445880        4472R
USC00446125        4768Q
USC00446147        5079Q
USC00446161        4790Q
USC00446173        4668R
USC00446475        4498S
USC00446491        4178S
USC00446593        4326R
USC00446626        4755R
USC00446656        4393Q
USC00446692        4735R
USC00446712        4299S
USC00446906        4306S
USC00446955        3694S
USC00446999        3827R
USC00447174        4284R
USC00447278        4447R
USC00447338        4706R
USC00447506        4518R
USC00447541        4484Q
USC00447904        4488Q
USC00447925        4489S
USC00447985        4718R
USC00448022        3911S
USC00448062        3910S
USC00448084        4293S
USC00448129        4697R
USC00448170        5027R
USC00448192        4949S
USC00448396        4405R
USC00448547        4244S
USC00448600        4425S
USC00448737        4436R
USC00448800        4743R
USC00448829        4268S
USC00448888        4448R
USC00448894        4396S
USC00448941        4439Q
USC00449025        4538S
USC00449151        4831S
USC00449169        4507R
USC00449181        3833S
USC00449186        3802R
USC00449213        4464S
USC00449215        4798S
USC00449263        3826R
USC00449272        5094R
USC00449301        3842S
USC00450008        8447S
USC00450013       13060R
USC00450176        2783R
USC00450217        3200Q
USC00450257        4727S
USC00450294        1543S
USC00450456       10668R
USC00450482        5260S
USC00450587        3525R
USC00450668        1311R
USC00450729        4100S
USC00450844        2812S
USC00450872        5637R
USC00450945        4780S
USC00451205        7938R
USC00451233        9739S
USC00451276        4704S
USC00451350        1139R
USC00451395        2053R
USC00451400        1084S
USC00451414        2878S
USC00451484        4685R
USC00451496       10891R
USC00451504        2227Q
USC00451586        1979R
USC00451630        1984R
USC00451679        7042S
USC00451690         862R
USC00451691        1019S
USC00451760       11274R
USC00451767        1079R
USC00451783        2145R
USC00451939        8984S
USC00451992        8130Q
USC00452007        1389R
USC00452030        1907R
USC00452157        7719S
USC00452220        5260R
USC00452384        4553Q
USC00452505         896R
USC00452507         905Q
USC00452531        6904S
USC00452542         936R
USC00452548        5590R
USC00452563        1314R
USC00452675        3844R
USC00452914       11972S
USC00453177        6702R
USC00453184        3137R
USC00453222        1722R
USC00453226        1531R
USC00453284        5488R
USC00453320        7501S
USC00453333       10562R
USC00453515        1274S
USC00453546        1039R
USC00453730        3942R
USC00453826       11562R
USC00453883        1105S
USC00453915        5055Q
USC00454077        1051R
USC00454084        6681R
USC00454154         773S
USC00454169        3914R
USC00454338        1503R
USC00454446        3367Q
USC00454486        5723S
USC00454572        2503R
USC00454679         977R
USC00454748        7865S
USC00454764        7991R
USC00454769        4798S
USC00455086        8705R
USC00455110        5640S
USC00455133        2241S
USC00455224        4349S
USC00455231         820R
USC00455305        6906S
USC00455326        1319R
USC00455387        1868R
USC00455525        4877S
USC00455659        4589Q
USC00455678        3320R
USC00455688         803S
USC00455704        5778R
USC00455774       11201S
USC00455840        7657S
USC00455844        2687R
USC00455946        2075S
USC00456011        5507R
USC00456039        1096S
USC00456096        2816S
USC00456215         825R
USC00456262        5600S
USC00456295        8573S
USC00456534        2739S
USC00456610        1727R
USC00456624        2529R
USC00456678        1904R
USC00456747         742R
USC00456768         894R
USC00456789        2035R
USC00456803        4042R
USC00456880         786R
USC00456896        7398R
USC00456898       11830R
USC00456909        5710R
USC00456914        8343S
USC00456974        1694R
USC00457015         762S
USC00457059        1238S
USC00457180        1734R
USC00457185        5761S
USC00457267        1730R
USC00457342        2096Q
USC00457507        4649S
USC00457522         863R
USC00457544        1602S
USC00457584        6588R
USC00457696        8404R
USC00457727         756R
USC00457773        6206S
USC00457941        1708R
USC00458034        6494R
USC00458059        3612S
USC00458207         750R
USC00458278        3922S
USC00458508        9943R
USC00458715        9793S
USC00458773        4163R
USC00458959         831R
USC00459012        1140R
USC00459021        5178S
USC00459074         908R
USC00459079         956R
USC00459200        1452R
USC00459238        1265R
USC00459376        1475S
USC00459455         867Q
USC00460094        4449S
USC00460102        3875S
USC00460202        4733Q
USC00460355        3803R
USC00460509        4372R
USC00460527        5020R
USC00460580        3999R
USC00460633        4921R
USC00460925        4155Q
USC00460939        3863S
USC00461075        4511C
USC00461215        4511S
USC00461220        4826R
USC00461282        4685S
USC00461324        3939R
USC00461330        4535R
USC00461363        5395R
USC00461393        5178R
USC00461397        5577Q
USC00461579        4622R
USC00461677        4560S
USC00461696        4667R
USC00461723        4723R
USC00461900        5074Q
USC00462054        4520R
USC00462151        4907R
USC00462211        5835Q
USC00462462        4766R
USC00462522        4654R
USC00462697        4121Q
USC00462920        4599S
USC00463072        4543R
USC00463215        3603R
USC00463251        4541Q
USC00463361        4849S
USC00463464        5451S
USC00463544        4603S
USC00463648        4609Q
USC00463798        5942S
USC00463846        4514S
USC00463940        4476Q
USC00464200        4087R
USC00464397        4313R
USC00464408        4492R
USC00464763        3994R
USC00464840        3987R
USC00464971        6173Q
USC00465002        4316S
USC00465224        4005S
USC00465353        4640R
USC00465365        4378R
USC00465453        3871Q
USC00465563        4751S
USC00465600        4709S
USC00465626        4835R
USC00465672        4403R
USC00465706        3998Q
USC00465739        3754R
USC00465875        5317R
USC00465963        4507R
USC00466163        3302R
USC00466212        4313R
USC00466248        4256R
USC00466284        5049Q
USC00466325        4561Q
USC00466442        3941R
USC00466591        4599R
USC00466600        4951R
USC00466867        5133R
USC00466900        4409R
USC00466912        4483Q
USC00466952        3774Q
USC00466982        4964R
USC00466989        5898Q
USC00467018        3893S
USC00467029        4578S
USC00467207        3839R
USC00467287        4036S
USC00467372        4556Q
USC00467455        4345R
USC00467513        5407R
USC00467552        4407R
USC00467649        5385R
USC00467730        3592R
USC00467743        4624R
USC00467785        5612R
USC00467918        4449R
USC00468051        4645R
USC00468308        5987R
USC00468351        4251Q
USC00468384        4610S
USC00468522        4893Q
USC00468614        4785R
USC00468662        4922Q
USC00468777        5562S
USC00468807        5689R
USC00468986        4814Q
USC00469011        3636S
USC00469086        4938R
USC00469281        3573S
USC00469333        5005Q
USC00469336        5731R
USC00469458        4599R
USC00469482        4040R
USC00469522        3933S
USC00469527        4381Q
USC00469610        4619R
USC00469683        4040R
USC00470045        3515R
USC00470080        3450Q
USC00470124        3546S
USC00470175        3178S
USC00470239        2917R
USC00470265        3108S
USC00470273        3727R
USC00470287        3724Q
USC00470308        3422R
USC00470347        3205Q
USC00470349        3077R
USC00470382        3306Q
USC00470456        3444Q
USC00470486        3234S
USC00470516        3610R
USC00470603        3218R
USC00470645        3478S
USC00470696        3634S
USC00470742        3356Q
USC00470773        3227R
USC00470855        3421R
USC00470882        3503S
USC00470892        3555S
USC00470904        3155S
USC00470929        3663R
USC00471039        3022R
USC00471044        3190R
USC00471062        3490Q
USC00471064        3027S
USC00471078        3675S
USC00471131        3249R
USC00471155        3108R
USC00471205        3379R
USC00471249        3433Q
USC00471280        3449R
USC00471308        3440R
USC00471416        3613R
USC00471568        3130S
USC00471578        3330Q
USC00471605        3428Q
USC00471667        3539S
USC00471676        3189R
USC00471681        3601Q
USC00471847        3708R
USC00471897        3015R
USC00471913        3601R
USC00471923        3362R
USC00471970        3476R
USC00471978        2984S
USC00472001        3693R
USC00472055        3127Q
USC00472165        3359R
USC00472173        3808R
USC00472240        3416R
USC00472279        3370R
USC00472314        2965S
USC00472413        3649Q
USC00472425        3324R
USC00472447        3287S
USC00472556        3488S
USC00472626        3083Q
USC00472826        2913R
USC00472839        2993R
USC00472851        3076Q
USC00472869        3415S
USC00472889        3076R
USC00472973        3445Q
USC00472996        3440S
USC00473022        3506R
USC00473038        3521S
USC00473058        3489R
USC00473116        3210Q
USC00473174        3148Q
USC00473182        3189S
USC00473186        3191S
USC00473268        3049Q
USC00473332        3403R
USC00473391        3647Q
USC00473405        3277R
USC00473453        3289S
USC00473471        3345R
USC00473511        3167R
USC00473636        3249Q
USC00473654        3432S
USC00473661        3379Q
USC00473698        3064R
USC00473702        3563Q
USC00473756        3333S
USC00473800        3609R
USC00473820        3504Q
USC00473930        3410Q
USC00474027        3210Q
USC00474080        3302S
USC00474108        3699Q
USC00474174        3614R
USC00474195        3074R
USC00474366        3450R
USC00474373        3516Q
USC00474379        3309Q
USC00474383        3368S
USC00474391        3387Q
USC00474404        3608R
USC00474422        3679Q
USC00474457        3609R
USC00474482        3594R
USC00474523        3206R
USC00474546        3537S
USC00474582        3169S
USC00474790        3627Q
USC00474829        3254R
USC00474894        3224S
USC00474937        3339S
USC00474953        3301R
USC00475017        3119R
USC00475091        3259R
USC00475096        3433Q
USC00475120        3272S
USC00475164        3354R
USC00475178        3380R
USC00475189        3568Q
USC00475255        3308S
USC00475286        3332R
USC00475335        3125S
USC00475364        3224S
USC00475473        3600Q
USC00475474        3194R
USC00475516        3203S
USC00475525        2884R
USC00475563        3469R
USC00475573        3791S
USC00475581        3447S
USC00475674        3698Q
USC00475718        3757R
USC00475786        3262S
USC00475808        3370R
USC00475932        3284R
USC00476122        3223R
USC00476200        3558S
USC00476208        3215R
USC00476280        3539S
USC00476330        3159R
USC00476357        3323R
USC00476380        3574Q
USC00476398        3202R
USC00476413        3208Q
USC00476420        3569Q
USC00476510        3225R
USC00476518        3005S
USC00476646        3786S
USC00476678        3489S
USC00476718        3614S
USC00476764        3360R
USC00476827        3463S
USC00476838        3208R
USC00476859        3088R
USC00476874        3072Q
USC00476922        3603R
USC00476939        3188R
USC00477015        3656Q
USC00477052        3690R
USC00477092        3027R
USC00477113        3140S
USC00477115        3204Q
USC00477118        3188Q
USC00477121        3158R
USC00477132        3100S
USC00477140        3181R
USC00477142        3218Q
USC00477158        3693S
USC00477174        3439R
USC00477209        3061R
USC00477226        3175R
USC00477230        3283Q
USC00477349        3252R
USC00477464        2990R
USC00477480        3176S
USC00477576        3639Q
USC00477708        3133S
USC00477725        3266R
USC00477745        3115R
USC00477761        3219Q
USC00477869        3576Q
USC00477892        3090R
USC00477964        3552Q
USC00477980        3087R
USC00477997        3400R
USC00478018        3236R
USC00478027        3100R
USC00478110        3201R
USC00478164        3508R
USC00478171        3263S
USC00478229        3545R
USC00478241        3054S
USC00478267        3194S
USC00478288        3155R
USC00478316        3644R
USC00478324        3260R
USC00478349        3067S
USC00478376        3082R
USC00478540        3510Q
USC00478589        3316R
USC00478672        3032S
USC00478723        3427S
USC00478750        3575Q
USC00478827        3453R
USC00478905        2832R
USC00478910        3549Q
USC00478919        3601S
USC00478937        3461R
USC00478951        3349R
USC00478969        3295Q
USC00478978        3129R
USC00479012        3281Q
USC00479046        3675R
USC00479050        3370R
USC00479053        3433Q
USC00479062        3397R
USC00479144        3291R
USC00479176        3148R
USC00479190        3448R
USC00479236        3043R
USC00479304        3312R
USC00479319        3464R
USC00479335        3193R
USC00479345        3191R
USC00480027        1816R
USC00480080        1873R
USC00480140        2529R
USC00480270        1727R
USC00480484        1050R
USC00480540         684S
USC00480552        1301S
USC00480603        2140Q
USC00480680        1578Q
USC00480740        1257S
USC00480761         694R
USC00480778        1425R
USC00480865        1876R
USC00480951         972R
USC00481000         888R
USC00481131         973Q
USC00481165        1324R
USC00481167        1660Q
USC00481175        1064R
USC00481220        2010Q
USC00481284         846R
USC00481547        1493R
USC00481569        1247Q
USC00481572        1383Q
USC00481610        1396R
USC00481676        1631Q
USC00481730        1640S
USC00481736         777R
USC00481775         720S
USC00481816        1319R
USC00481840        1056S
USC00481850         924R
USC00481855        1192S
USC00481905        1454R
USC00482054        1170R
USC00482242        1172R
USC00482375        1612R
USC00482399        1700R
USC00482415         540R
USC00482466        1800R
USC00482580        1475S
USC00482595         909R
USC00482680        1523R
USC00482685        1558R
USC00482715         991R
USC00482725        1323R
USC00482881        1673R
USC00482995        1207R
USC00483031         737R
USC00483045        1375R
USC00483100        1220R
USC00483170         930Q
USC00483396         753R
USC00483582        1100Q
USC00483855        1694S
USC00483936        1525Q
USC00483950        1088R
USC00484065         833R
USC00484080         678R
USC00484411         865R
USC00484442        1503S
USC00484760        1756R
USC00484910        1684R
USC00484925        1006R
USC00485055        1237R
USC00485105        1035R
USC00485252         848R
USC00485260        1739S
USC00485345        2090R
USC00485374        1541Q
USC00485392        1116Q
USC00485435        1143R
USC00485506        1519S
USC00485525        1103S
USC00485703        1107R
USC00485770         634S
USC00485830        1622R
USC00485833        1660Q
USC00486120        1101R
USC00486195        1254R
USC00486428        2180R
USC00486440        2465S
USC00486555        1013S
USC00486595        1020R
USC00486660        1644S
USC00486845        2537R
USC00486852        1470R
USC00487105        1095Q
USC00487115         792R
USC00487200        1573S
USC00487240        1398R
USC00487260        1140R
USC00487376        1043R
USC00487388         680R
USC00487473         706S
USC00487548        1457R
USC00487555        1475S
USC00487760         842S
USC00487810        1339R
USC00487847         966Q
USC00487885        1645Q
USC00487955         943R
USC00487990        1017R
USC00488070        1398R
USC00488124        1059R
USC00488160        1325S
USC00488192        1082R
USC00488209         753R
USC00488315        2999R
USC00488385        1264Q
USC00488626        2726R
USC00488705        1920S
USC00488758        1364R
USC00488808        1595R
USC00488852        1313R
USC00488858        1357R
USC00488875        1171R
USC00488884        1269R
USC00488888        1245R
USC00488995        1438R
USC00488997        1493R
USC00489025        1642R
USC00489205        1499R
USC00489207        1391R
USC00489208        1957Q
USC00489459         818R
USC00489467        1013R
USC00489580        1327R
USC00489604        1380R
USC00489615        1369S
USC00489770         782S
USC00489805        1363R
USC00489905        1441R
USC00500243        7069S
USC00500275        1667R
USC00500279        1846Q
USC00500281        2383Q
USC00500302        1895R
USC00500363       11687Q
USC00500464        6358S
USC00500490        1218Q
USC00500657       16106R
USC00500707        1381R
USC00500788        5498R
USC00500832        7329Q
USC00501175        1776Q
USC00501180        1937Q
USC00501220        1745Q
USC00501240       12091R
USC00501243        1653R
USC00501244        1577Q
USC00501466        1215Q
USC00501492         833R
USC00501497        1334Q
USC00501684        1241Q
USC00501926        3395R
USC00501987        1141Q
USC00502107        1214R
USC00502112        1335R
USC00502126         494R
USC00502173       14836R
USC00502227       10160Q
USC00502339        1282Q
USC00502350        1228R
USC00502352        1112R
USC00502457        2532R
USC00502568        1671R
USC00502587        6163R
USC00502645        1808Q
USC00502656        1650Q
USC00502707        1165R
USC00502737        1707Q
USC00502785       10250R
USC00502868        1437Q
USC00502871        1324Q
USC00502965        1070P
USC00502970        1231Q
USC00503009        1735R
USC00503160        1565Q
USC00503163        1504R
USC00503181        1300Q
USC00503196        2125Q
USC00503212        1237R
USC00503275        1362Q
USC00503294        7861Q
USC00503299        2651S
USC00503304        1406Q
USC00503502        6644Q
USC00503504        4653R
USC00503573        3512R
USC00503585        1517R
USC00503605       13174Q
USC00503650       10630Q
USC00503672        2931S
USC00503682        2211R
USC00503695        6731Q
USC00503720        2032R
USC00503821        9254Q
USC00503933        3536R
USC00504094        9222R
USC00504103        8424Q
USC00504107        6177Q
USC00504109        6849Q
USC00504550        2131R
USC00504621        1583R
USC00504812        6827R
USC00504971        1506Q
USC00504991        6805Q
USC00505136         380R
USC00505397        1265R
USC00505464        1889R
USC00505519       23659R
USC00505604       20476R
USC00505644        1569Q
USC00505733        1462R
USC00505757        1832R
USC00505778        1506R
USC00505873        1539Q
USC00505880        1396Q
USC00505884        9662Q
USC00505894        2938R
USC00506147        1158R
USC00506581        1182R
USC00506777        1077R
USC00506870        1600R
USC00507097        1831Q
USC00507141       15071R
USC00507421        7926Q
USC00507444        1936Q
USC00507513        1159Q
USC00507557       16263R
USC00507570        1323R
USC00507738       13123R
USC00507780         404P
USC00507783        1456R
USC00508140        1392R
USC00508375        6741Q
USC00508377        4471R
USC00508409        1627Q
USC00508470        1507R
USC00508525        3673Q
USC00508547        1510R
USC00508584       17465Q
USC00508594        1098R
USC00508615        2596Q
USC00508625        1566R
USC00508884        2062Q
USC00508915        1835R
USC00508945        1437R
USC00509313         945R
USC00509385        1241R
USC00509460        6770R
USC00509489        1468R
USC00509641        1217R
USC00509685        7107Q
USC00509747       14383Q
USC00509790        2181R
USC00509793        1241R
USC00509829       21460S
USC00509861        2635Q
USC00509869        1428Q
USC00509891        1246Q
USC00509919        9121Q
USC00510123        5869S
USC00510211        2964Q
USC00510248        1782S
USC00510305        3047Q
USC00510746       24002R
USC00510840        7300R
USC00511004        4974S
USC00511065        2423R
USC00511086        4446S
USC00511125        7923R
USC00511303       10266S
USC00511856        9322R
USC00511880        1872R
USC00511918        1787S
USC00512161        2436R
USC00512558        1724R
USC00512568        4369Q
USC00512595       20395Q
USC00512679       10789Q
USC00512802       20968R
USC00512896        3863Q
USC00512960       12057S
USC00512982       10138Q
USC00513054        3325S
USC00513099        6176S
USC00513113        7480R
USC00513117        5290R
USC00513208        5452R
USC00513300        5788S
USC00513317        2901R
USC00513368        8218R
USC00513376        3091Q
USC00513461        1512Q
USC00513541        1666Q
USC00513910        2384S
USC00513911        1196R
USC00514080        5330R
USC00514272        1955R
USC00514459       14644Q
USC00514489        1208S
USC00514500        3556S
USC00514561        6856S
USC00514680        7022Q
USC00514735        2157R
USC00514758        7775S
USC00514765        1054S
USC00514806        8491R
USC00514815       11098R
USC00514829        7425Q
USC00514928        8821R
USC00514938        6884R
USC00515000        2325S
USC00515004        3076S
USC00515011       10459R
USC00515275        1559R
USC00515286        2830Q
USC00515330        5000S
USC00515408        1709Q
USC00515715        5016Q
USC00515758        2459R
USC00515761        2303S
USC00515842        1607S
USC00515864        2304R
USC00516082        2272R
USC00516122        6509S
USC00516128       15225S
USC00516130       14197R
USC00516190        2908Q
USC00516198        2461Q
USC00516270        1746Q
USC00516304        2443R
USC00516395        3223S
USC00516588        4874Q
USC00516850        2678R
USC00516928       10640S
USC00516933        8684Q
USC00517000        8402S
USC00517059        1562Q
USC00517131       11717R
USC00517166        3658S
USC00517204        7387R
USC00517312        9648S
USC00517421        5278Q
USC00517437        5407Q
USC00517540        2655S
USC00517566        2985S
USC00517656        7112S
USC00517664       12607S
USC00517724       14985R
USC00517810       15746S
USC00518055        3412Q
USC00518060        1758R
USC00518067       12731Q
USC00518086        6933Q
USC00518101        5786Q
USC00518165        7776S
USC00518205        3065R
USC00518316        3279S
USC00518386        7203Q
USC00518407        2549Q
USC00518422        1060S
USC00518433       20493Q
USC00518500        3090R
USC00518543        1813S
USC00518552        2524R
USC00518600        3764R
USC00518652        2276R
USC00518688        2294S
USC00518830        3290R
USC00518838        6426R
USC00519025       19296S
USC00519142        1744Q
USC00519144         942R
USC00519185        2502S
USC00519231        2063R
USC00519253        2001R
USC00519275        3412R
USC00519281        7496R
USC00519315        4517R
USC00519397        2235S
USC00519432       14699Q
USC00519484        3350R
USC00519523        4327S
USC00519603        5467S
USC00519629        2176R
USC00519980        4486S
USW00003013        1520Q
USW00003016        1430Q
USW00003017        1430R
USW00003024        2172Q
USW00003026        1746Q
USW00003027        1543Q
USW00003028        1755Q
USW00003029        1230Q
USW00003030        1930Q
USW00003031        1470Q
USW00003032        1531Q
USW00003047        1387Q
USW00003048        1108Q
USW00003054        1864Q
USW00003055        1909Q
USW00003060        1973Q
USW00003061        2043Q
USW00003062        2169Q
USW00003063        1357Q
USW00003067        1971Q
USW00003102        1504Q
USW00003103        2186S
USW00003104         320R
USW00003122        1445S
USW00003125         382S
USW00003131        1251Q
USW00003144         344Q
USW00003145         356P
USW00003154        1411Q
USW00003159         738S
USW00003160         593R
USW00003162         833Q
USW00003164        1573S
USW00003166        1388Q
USW00003167        1389Q
USW00003170         900R
USW00003171        1240Q
USW00003177        1184Q
USW00003178        1237Q
USW00003179        1329Q
USW00003184        1076Q
USW00003192        1027Q
USW00003195        1617Q
USW00003196        1715Q
USW00003728        5215Q
USW00003739        4614Q
USW00003758        4539Q
USW00003802        4583Q
USW00003804        4119R
USW00003809        5103R
USW00003810        4626S
USW00003811        5327S
USW00003812        4557S
USW00003813        4568C
USW00003816        4908C
USW00003818        5358Q
USW00003820        4357C
USW00003822        4796C
USW00003841        5547S
USW00003847        5509S
USW00003849        4714R
USW00003853        4483R
USW00003855        6120R
USW00003856        5434C
USW00003859        3963S
USW00003860        4259S
USW00003866        5717R
USW00003868        4516Q
USW00003870        4719C
USW00003872        4119S
USW00003878        5462Q
USW00003881        5723S
USW00003882        5739Q
USW00003887        3845Q
USW00003888        5117Q
USW00003889        4834S
USW00003893        4755Q
USW00003894        5018Q
USW00003901        4755Q
USW00003904        4006S
USW00003919        3150R
USW00003927        3618C
USW00003928        3264C
USW00003932        2712Q
USW00003935        4681S
USW00003936        3255Q
USW00003937        5749C
USW00003940        5414C
USW00003945        4262C
USW00003947        3886C
USW00003950        3118Q
USW00003951        4953S
USW00003952        5003S
USW00003953        4810Q
USW00003954        3239Q
USW00003957        2714R
USW00003959        4042R
USW00003960        4094Q
USW00003962        5585R
USW00003963        4396Q
USW00003965        3629Q
USW00003966        4208R
USW00003967        4004Q
USW00003969        3154S
USW00003971        4055Q
USW00003974        3434Q
USW00003975        4877Q
USW00003981        2960Q
USW00003991        3836Q
USW00003994        4111Q
USW00003996        5474Q
USW00003997        3855Q
USW00003998        3979Q
USW00003999        3241Q
USW00004109        3417Q
USW00004110        1081Q
USW00004111        1213Q
USW00004112        1706Q
USW00004113        1044Q
USW00004114        1006Q
USW00004125        1262Q
USW00004126        1550Q
USW00004127        1098Q
USW00004128        1143Q
USW00004130        2425Q
USW00004131        2211Q
USW00004136        1916Q
USW00004138        1657Q
USW00004139        1596Q
USW00004201        4283Q
USW00004222        4775Q
USW00004223        7596Q
USW00004724        3503Q
USW00004725        3930C
USW00004726        4110Q
USW00004751        4446R
USW00004780        4714Q
USW00004781        4624R
USW00004787        4319R
USW00004789        4459Q
USW00004803        2659Q
USW00004804        3898Q
USW00004808        3686Q
USW00004826        3159Q
USW00004836        3360Q
USW00004838        3335Q
USW00004839        3646Q
USW00004840        3012Q
USW00004841        3097Q
USW00004842        3746Q
USW00004843        4090Q
USW00004845        3416Q
USW00004846        3751Q
USW00004847        3217Q
USW00004848        3338Q
USW00004849        3797Q
USW00004850        3706Q
USW00004851        3148Q
USW00004852        3890Q
USW00004853        3635Q
USW00004854        3124Q
USW00004855        3731Q
USW00004857        3594Q
USW00004858        3995Q
USW00004990        2768Q
USW00004994        2292Q
USW00012812        5202Q
USW00012815        5073C
USW00012816        4733S
USW00012818        5280Q
USW00012819        5119Q
USW00012832        5770S
USW00012833        4836Q
USW00012834        4962S
USW00012835        5593S
USW00012836        3983C
USW00012838        5200S
USW00012839        6190C
USW00012841        5317Q
USW00012842        4630C
USW00012843        5187S
USW00012844        6233S
USW00012849        6218R
USW00012850        4686R
USW00012854        5168Q
USW00012859        5008P
USW00012871        5301Q
USW00012873        5470Q
USW00012876        5094Q
USW00012882        6105Q
USW00012883        5217R
USW00012884        5938R
USW00012885        5862Q
USW00012888        6129Q
USW00012894        5323Q
USW00012895        5384Q
USW00012896        4617Q
USW00012897        5189Q
USW00012904        2518Q
USW00012912        4122S
USW00012916        6245S
USW00012917        6047S
USW00012918        5465S
USW00012919        2744C
USW00012921        3227C
USW00012923        5076Q
USW00012924        3176C
USW00012925        3296R
USW00012926        3427R
USW00012928        3038S
USW00012930        6229R
USW00012932        2843Q
USW00012935        4459S
USW00012944        4305R
USW00012947        2504Q
USW00012957        2610Q
USW00012958        6248R
USW00012959        2220R
USW00012960        4977C
USW00012962        2624R
USW00012968        6043Q
USW00012970        3051Q
USW00012971        3462Q
USW00012972        3459Q
USW00012975        5269Q
USW00012976        5086Q
USW00012977        4948Q
USW00012987        2598Q
USW00013301        4155Q
USW00013701        4482Q
USW00013702        4670R
USW00013713        4879R
USW00013714        4559R
USW00013721        4665R
USW00013722        4334C
USW00013723        4220S
USW00013724        4001S
USW00013728        4444Q
USW00013729        4593C
USW00013733        4157C
USW00013734        3870C
USW00013735        4159S
USW00013736        4183S
USW00013737        4653S
USW00013739        4153C
USW00013740        4360C
USW00013741        4125C
USW00013743        3974C
USW00013744        4291S
USW00013748        5761S
USW00013750        4476R
USW00013754        5613R
USW00013764        4377R
USW00013766        4997R
USW00013769        4431R
USW00013773        4111R
USW00013776        4352Q
USW00013777        4243R
USW00013781        4308S
USW00013782        4442S
USW00013786        4658R
USW00013802        4165S
USW00013807        4669Q
USW00013809        4388Q
USW00013810        4554Q
USW00013833        5917Q
USW00013837        4655Q
USW00013838        6528Q
USW00013839        5397Q
USW00013841        4087Q
USW00013861        4679R
USW00013865        5616S
USW00013866        4403C
USW00013867        4208S
USW00013869        4857Q
USW00013870        4669S
USW00013871        4967S
USW00013872        3699S
USW00013873        4633C
USW00013874        4971C
USW00013876        5372C
USW00013877        4101C
USW00013878        4500S
USW00013880        5103C
USW00013881        4163C
USW00013882        5248C
USW00013883        4459C
USW00013884        6291R
USW00013886        5077Q
USW00013889        5239C
USW00013891        4786S
USW00013893        5368C
USW00013894        6615C
USW00013895        5307S
USW00013896        5320R
USW00013897        4725C
USW00013899        6527C
USW00013904        3464R
USW00013911        3420Q
USW00013920        3895Q
USW00013927        5432Q
